address;SOY wei;SOY ether
0x08941ea47ad9cd84aec2901da392e863572bcb0b;1395964962837068720;1.39596496283706872
0xc4f77cec76b2445a5c7f84a8a80681ff182e00d0;5970021322909058292136144;5970021.322909058292136144
0x918d4b2b862f6517f7ca9b31784ab844cc7e215b;9712045072887523886;9.712045072887523886
0x6479e876318a6140c06ab62bcf423c07f226d678;24977664512491423819579;24977.664512491423819579
0xa2ead721787bc042a15c660042bd8d861c61efba;1204751209339074002524447;1204751.209339074002524447
0x6264011f771aa030d46a42bbf5dd046dd03271f0;4035858702352040563005991;4035858.702352040563005991
0xf0440db8da1226d97e06cad18ffcd18a95f800ab;37322154839051210968392;37322.154839051210968392
0x5c3062f7c9927d6e3d24d2812562cbbb91f4fc8f;292215493500243395333933;292215.493500243395333933
0x36ad3313cb08908436a5739edc0cb4be635c802c;997334526650879947;0.997334526650879947
0x0e6b18369be8fc93fe0663f1ef89a4c801347de6;1677376938236597227292836;1677376.938236597227292836
0xe33490de0e2110aef1c639a38c95e7326221a347;25468145295183330717369;25468.145295183330717369
0xddea7529cf832674d97988722a10c26be7b34adb;803864181809024506639534;803864.181809024506639534
0x1d793e2d028abd8d8dcec2fdd98b55a73a2bc502;2168964093602204510485932;2168964.093602204510485932
0xd32a318e3ea31e8bd8e7a256fcf09561da943f9a;9495277642696651736042;9495.277642696651736042
0xfa71fbd66da8256ca66c085b9475ba4b61d7375d;6209833905168689016156;6209.833905168689016156
0x8c7449c83bb3f3757cf272a55a35eb05b1f593bb;1022333614464762063547148;1022333.614464762063547148
0x418a7f56bb2fde2b73a4599e9e4850e9d9f51d5e;19157628970789088371923;19157.628970789088371923
0x35066bae05bde7dd01b440bb88d14fc1758b7fb3;526947590694957634704680;526947.59069495763470468
0x3b554e3cdc1234a49216f1498114ebd82bafc5ea;187414821770570499799870;187414.82177057049979987
0x2f51b11d0c0ebd3de9af22070a1b20517ac89a89;311502160182615684286091;311502.160182615684286091
0xab2b23e67ee1f11c27a59504a319f25d6cbd057c;227281568044448632400694;227281.568044448632400694
0x101f3a2c8b91b4fc02fa8db16a81459d3a64b8f1;2986245148782156661588723;2986245.148782156661588723
0xada77fb49e8e99fb6b307b524ec2861799fc5cb8;150000000000000000000;150
0x60454abe4954f99b586ecb91d185b2d5625cdf16;1070400543990586218749074;1070400.543990586218749074
0x5d9f72f8653b068c1b85de3c5785dc5e6e929940;383038746082903472155980;383038.74608290347215598
0x65121c24bb1f846f1195de69398803597302146d;886327171644014373377008;886327.171644014373377008
0xeba2ba36c7994156520cb464258b41dbadf16011;54555897141078070678425;54555.897141078070678425
0x38db472412ebf6195396e9f3149db0577a3387a8;4463226744330311783956059;4463226.744330311783956059
0xeae128e25b911c9771865515f9696396d9e18369;1907807263777629242969555;1907807.263777629242969555
0xfc8f3324b6d71d14bfd625ecdbd18f3bc29a9935;243876573043485066413375626;243876573.043485066413375626
0x14b0c4c87990dcfd927cc010887fb7bd54077a7e;43802465199441501810814;43802.465199441501810814
0x6279f1cae64f689c7c1e5564127f076cea6c23e0;17002501022130011592981;17002.501022130011592981
0x3d740b0d0762abe67ff7f3e92f3c597d44d07c9b;9096976954156626383127;9096.976954156626383127
0x96bb59e6f533faece811b9de551a72bd712151bb;173098063681130453937200;173098.0636811304539372
0x00519cbe8d568ca13bb9ca9d70524055f2f5fe7b;4993272421779128796725;4993.272421779128796725
0x2980c94b933b0ed07820ea15c3dc117efb3f71b6;4098031936345426851257;4098.031936345426851257
0xb252410646403c864c24f091c39ed2ee2f181743;2145286027326216770260725;2145286.027326216770260725
0xd33056aa8799e357511ddd6cbcd25691866e1bac;106571706067118956127;106.571706067118956127
0x1acdb95f8934f059adfb8c8493c04bc1ff18d46f;433916359383165564411584;433916.359383165564411584
0xe361dcf90cf4079c065bfee6480a00a738164785;293888264498481645991020;293888.26449848164599102
0xba899f88518f6cdcebb9d956fb317329c1b2dd80;52550736464764197140277;52550.736464764197140277
0x9a76135335ad1d4bfc15241ccae042657e31d29b;31071969536862618815606;31071.969536862618815606
0x09db9b873db84ada9059630f79cd832b4d576800;63334157021736281474801;63334.157021736281474801
0xf87f31f4759a62962e16f75a98d4b48aa5806f69;606378924278854922801712;606378.924278854922801712
0x419fa06a9ba683e12c448371486f33f3ce769195;278310431584925712603;278.310431584925712603
0x0fa18749f0697bdd5e52fecd7458e5a8b362790b;186353362636021013744433;186353.362636021013744433
0xd44a2711b3f20e6351d582109606b951ff6af18c;53854882719664087932712;53854.882719664087932712
0x0c164db2ef9b63f6c67f2d6f804e951c7510cf7d;11529965632036958637207776;11529965.632036958637207776
0x4081546729c3af5a822ee0327ae8757faee50aed;1313943000024142933035;1313.943000024142933035
0xa4622e05646f2e3af7d1c26f0775402c2068d316;154782533368737651809;154.782533368737651809
0x6d819cb8f895f3b408a4b6656a8fa7aef3a7b53c;202066100049157958563381;202066.100049157958563381
0x657337fe58c248edf101d07d5410e0b6e578ee82;9728270921945158081826;9728.270921945158081826
0xed2fd1f7b7dfeb63613709bd05ee4aa934f32cca;901610555945942123894;901.610555945942123894
0xdb8a54fc071865cd433d33df357576e28bf72f2c;848299658230191754638;848.299658230191754638
0x8175619fa30bd5714c6b5512281cffe0c2796e86;1159424869655556266919;1159.424869655556266919
0x6e27b1bf0001beeaff5dc965f5752c1c4717aa29;54293382361128400721827;54293.382361128400721827
0xd201b67730a8f836d1bca8e72b8b1b5e9351df29;329774109670250280574598;329774.109670250280574598
0xfbbdf3dbdcb951b1bcd0fb604858ba3357bcd40f;59514606656437857684453;59514.606656437857684453
0x1598ee9d637bb2c00ab96f9bd1d10bc30bf9755a;1970467643206121771932;1970.467643206121771932
0x65dc13566c5f1b2e3db28f37cc73d5da4ec9005e;2810981206849861138506619;2810981.206849861138506619
0x781fca4f25d431ea09b03baca9aa429bf4c0c34e;12540613052142235371853;12540.613052142235371853
0x82dfd0bf278b58afcd54b8b247c9252aaaa7ed7e;922000000000000000000;922
0x454815609ef74ed521c59f3555c80298ef07436e;69948530217334873803497;69948.530217334873803497
0x6f5466265167fcfd208f56ac7cdba47dcd3c2435;216548262993921870252537;216548.262993921870252537
0x119d38fe4a22241488ac5b7008d17d5c6bcff16e;3581779998637833813112;3581.779998637833813112
0xaeb742cdd69d45ae76576000e3b350ec277b6495;26506048195144799768198;26506.048195144799768198
0x7363da15f0c7ac5dec0c5a96ed010499ba532663;10317954322020272551454;10317.954322020272551454
0xbee31ffd3e3a1c2e4f1a67f1a5eaab6ff1d14a96;24767775276588482744572;24767.775276588482744572
0xfdc6443c3fb133cc0431d232c5c4f14c0cc972f3;155039372004987929571730;155039.37200498792957173
0xe11e0454414a70474405da930648ee9756f3c208;121371714572548840792948;121371.714572548840792948
0x24a09e88f34076a761c0a55ef8222dc8b00e503e;7504595451431736958044;7504.595451431736958044
0x577e197b1ded6c95c027c60b5908917f69cfb67c;437193460349397840650;437.19346034939784065
0x4d26937dbfad1356fe624fc5e2cc3e167a3596da;4102222650648743693502427;4102222.650648743693502427
0x347cb5aabc4c70c3ffee93a974f554222f263fa0;2656885952522765924708839;2656885.952522765924708839
0xaa3e76e2325677ced138263b6d651b7198d8e9b6;248113958157799282227624;248113.958157799282227624
0x6728a266e7b0759170631f6af664dba96b73a956;999900000000000000;0.9999
0x3909f168c2d4380c7e887260fe3cdffc31372c8c;532893505214183631305036;532893.505214183631305036
0x39fc253804700b17302b45186ac81eb98558b2c0;62337821769839413921176;62337.821769839413921176
0x182155e53c8e8222fc7572503846318265d01b64;198951832293238585295704;198951.832293238585295704
0xdfec63a1290d7f02b9d04e9396496c853b35e02c;7606144515117485635803;7606.144515117485635803
0xb3c707ddf626863b4688b1a712cf8b0e269cc017;8835691772037824092673;8835.691772037824092673
0x19af495bda761dd8df5f981617c83bb1995d193a;95361840468661564438380;95361.84046866156443838
0x1de908b35a5a0b1f4d1569780e0cf49536b4bf9d;27885957427206176809399;27885.957427206176809399
0x67f60991cc21096c4054ed2a51fe70011caa31f4;213480941445124995398178;213480.941445124995398178
